r_miu,case,ok,stable,downpress,dH,avgHdot,minThetaDeg,maxAlphaErrDeg,maxMiuErrDeg,tailMiuRmsDeg,maxDeltaDeg,satFrac
0.03,bank90_alpha8,1,1,1,-3463.94491226167,-76.9765536058149,-2.12511655742043,8,23.64540506097,8.23858485703289,4.1239787891537,0
0.03,bank120_alpha8,1,1,1,-7810.64333702274,-156.212866740455,-4.45649154002103,8,29.193354474938,10.5735569454665,4.1239787101613,0
0.1,bank90_alpha8,1,1,1,-3992.58408056303,-88.7240906791784,-2.28612460054415,8,7.24800602265823,2.54704857701382,5.16662099316629,0
0.1,bank120_alpha8,1,1,1,-8776.59145704762,-175.531829140952,-4.75799572791159,8,8.92755756080008,3.25679209444168,5.16661580964188,0
0.24,bank90_alpha8,1,1,1,-4114.45962667782,-91.4324361483961,-2.32171364930862,8,3.37383924017145,1.12032775370218,8.48523685524233,0
0.24,bank120_alpha8,1,1,1,-9002.58522735316,-180.051704547063,-4.83088985064024,8,4.05619756261706,1.42421693391799,8.79377362105846,0
